symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
UTI,"Universal Technical Institute, Inc.",NYSE,1985139640.0,36.08,Jerome A. Grant,1919040549.0
GTY,Getty Realty Corp.,NYSE,1983317600.0,32.8,Christopher J. Constant,2584491920.0
CLBK,"Columbia Financial, Inc.",NASDAQ,1982881787.0,19.04,Thomas J. Kemly,2418942681.0
TNET,"TriNet Group, Inc.",NYSE,1976294663.0,42.85,Michael Quinn Simonds,1836240000.0
INN-PE,"Summit Hotel Properties, Inc.",NYSE,1968196009.0,18.42,Jonathan Stanner,
NEOG,Neogen Corporation,NASDAQ,1961234099.0,9.01,Mikhael Nassif,2054611885.0
OMCL,"Omnicell, Inc.",NASDAQ,1960071587.0,43.1,Randall A. Lipps,2090039499.0
VERX,"Vertex, Inc.",NASDAQ,1956775170.0,12.27,Christopher David Young,2925684400.0
PWP,Perella Weinberg Partners,NASDAQ,1956205683.0,21.42,Andrew Bednar,1677734222.0
KMPR,Kemper Corporation,NYSE,1953434742.0,33.27,Carl Thomas Evans Jr.,3392813778.0
